locus_tag	ftype	length_bp	gene	EC_number	COG	product
EPBGNNHA_00001	gene	348				
EPBGNNHA_00001	CDS	348				hypothetical protein
EPBGNNHA_00002	gene	216				
EPBGNNHA_00002	CDS	216				hypothetical protein
EPBGNNHA_00003	gene	339				
EPBGNNHA_00003	CDS	339				hypothetical protein
EPBGNNHA_00004	gene	231				
EPBGNNHA_00004	CDS	231				hypothetical protein
EPBGNNHA_00005	gene	342	mazF			
EPBGNNHA_00005	CDS	342	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
EPBGNNHA_00006	gene	186				
EPBGNNHA_00006	CDS	186				hypothetical protein
EPBGNNHA_00007	gene	195				
EPBGNNHA_00007	CDS	195				hypothetical protein
EPBGNNHA_00008	gene	831	ydbD			
EPBGNNHA_00008	CDS	831	ydbD	1.11.1.6	COG3546	putative manganese catalase
EPBGNNHA_00009	gene	1335	araN_1			
EPBGNNHA_00009	CDS	1335	araN_1		COG1653	putative arabinose-binding protein
EPBGNNHA_00010	gene	912	lacF_1			
EPBGNNHA_00010	CDS	912	lacF_1			Lactose transport system permease protein LacF
EPBGNNHA_00011	gene	855	araQ_1			
EPBGNNHA_00011	CDS	855	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
EPBGNNHA_00012	gene	618				
EPBGNNHA_00012	CDS	618				hypothetical protein
EPBGNNHA_00013	gene	519				
EPBGNNHA_00013	CDS	519				hypothetical protein
EPBGNNHA_00014	gene	459				
EPBGNNHA_00014	CDS	459				hypothetical protein
EPBGNNHA_00015	gene	4038				
EPBGNNHA_00015	CDS	4038				hypothetical protein
EPBGNNHA_00016	gene	1314				
EPBGNNHA_00016	CDS	1314				hypothetical protein
EPBGNNHA_00017	gene	1698				
EPBGNNHA_00017	CDS	1698				hypothetical protein
EPBGNNHA_00018	gene	894				
EPBGNNHA_00018	CDS	894				hypothetical protein
EPBGNNHA_00019	gene	675	graR			
EPBGNNHA_00019	CDS	675	graR		COG0745	Response regulator protein GraR
EPBGNNHA_00020	gene	1026	graS			
EPBGNNHA_00020	CDS	1026	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
EPBGNNHA_00021	gene	867	glcU_1			
EPBGNNHA_00021	CDS	867	glcU_1		COG4975	putative glucose uptake protein GlcU
EPBGNNHA_00022	gene	1377	yhdG			
EPBGNNHA_00022	CDS	1377	yhdG		COG0531	putative amino acid permease YhdG
EPBGNNHA_00023	gene	1197				
EPBGNNHA_00023	CDS	1197				TelA-like protein
EPBGNNHA_00024	gene	663				
EPBGNNHA_00024	CDS	663				hypothetical protein
EPBGNNHA_00025	gene	564	act			
EPBGNNHA_00025	CDS	564	act	3.-.-.-		Methanol dehydrogenase activator
EPBGNNHA_00026	gene	285				
EPBGNNHA_00026	CDS	285				hypothetical protein
EPBGNNHA_00027	gene	693	mtnN			
EPBGNNHA_00027	CDS	693	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
EPBGNNHA_00028	gene	546				
EPBGNNHA_00028	CDS	546				hypothetical protein
EPBGNNHA_00029	gene	3279				
EPBGNNHA_00029	CDS	3279				hypothetical protein
EPBGNNHA_00030	gene	1908	pepO			
EPBGNNHA_00030	CDS	1908	pepO	3.4.24.-	COG3590	Neutral endopeptidase
EPBGNNHA_00031	gene	876				
EPBGNNHA_00031	CDS	876				hypothetical protein
EPBGNNHA_00032	gene	975	prs2			
EPBGNNHA_00032	CDS	975	prs2	2.7.6.1		Putative ribose-phosphate pyrophosphokinase 2
EPBGNNHA_00033	gene	1137	iscS_1			
EPBGNNHA_00033	CDS	1137	iscS_1	2.8.1.7		Cysteine desulfurase IscS
EPBGNNHA_00034	gene	345				
EPBGNNHA_00034	CDS	345				hypothetical protein
EPBGNNHA_00035	gene	1287				
EPBGNNHA_00035	CDS	1287				hypothetical protein
EPBGNNHA_00036	gene	600				
EPBGNNHA_00036	CDS	600				hypothetical protein
EPBGNNHA_00037	gene	1122	mnmA			
EPBGNNHA_00037	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
EPBGNNHA_00038	gene	1422	arcD1_1			
EPBGNNHA_00038	CDS	1422	arcD1_1		COG0531	Arginine/ornithine antiporter ArcD1
EPBGNNHA_00039	gene	1119	vioD			
EPBGNNHA_00039	CDS	1119	vioD	4.2.1.145		Capreomycidine synthase
EPBGNNHA_00040	gene	1293	sbnD_1			
EPBGNNHA_00040	CDS	1293	sbnD_1			Staphyloferrin B transporter
EPBGNNHA_00041	gene	561				
EPBGNNHA_00041	CDS	561				hypothetical protein
EPBGNNHA_00042	gene	378				
EPBGNNHA_00042	CDS	378				hypothetical protein
EPBGNNHA_00043	gene	1971	topB_1			
EPBGNNHA_00043	CDS	1971	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
EPBGNNHA_00044	gene	948	yfdH			
EPBGNNHA_00044	CDS	948	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
EPBGNNHA_00045	gene	465	ogt			
EPBGNNHA_00045	CDS	465	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
EPBGNNHA_00046	gene	1044				
EPBGNNHA_00046	CDS	1044				hypothetical protein
EPBGNNHA_00047	gene	966				
EPBGNNHA_00047	CDS	966				hypothetical protein
EPBGNNHA_00048	gene	846	cysL			
EPBGNNHA_00048	CDS	846	cysL		COG0583	HTH-type transcriptional regulator CysL
EPBGNNHA_00049	gene	1188	rodA			
EPBGNNHA_00049	CDS	1188	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
EPBGNNHA_00050	gene	357	mgsR			
EPBGNNHA_00050	CDS	357	mgsR		COG1393	Regulatory protein MgsR
EPBGNNHA_00051	gene	339	gcvH			
EPBGNNHA_00051	CDS	339	gcvH		COG0509	Glycine cleavage system H protein
EPBGNNHA_00052	gene	1044	metN2			
EPBGNNHA_00052	CDS	1044	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
EPBGNNHA_00053	gene	687	metP_1			
EPBGNNHA_00053	CDS	687	metP_1		COG2011	Methionine import system permease protein MetP
EPBGNNHA_00054	gene	849	metQ_1			
EPBGNNHA_00054	CDS	849	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
EPBGNNHA_00055	gene	774				
EPBGNNHA_00055	CDS	774				putative ABC transporter ATP-binding protein
EPBGNNHA_00056	gene	1287				
EPBGNNHA_00056	CDS	1287				hypothetical protein
EPBGNNHA_00057	gene	1236	sufS			
EPBGNNHA_00057	CDS	1236	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
EPBGNNHA_00058	gene	471	iscU			
EPBGNNHA_00058	CDS	471	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
EPBGNNHA_00059	gene	1392				
EPBGNNHA_00059	CDS	1392				hypothetical protein
EPBGNNHA_00060	gene	1182	xerC_1			
EPBGNNHA_00060	CDS	1182	xerC_1			Tyrosine recombinase XerC
EPBGNNHA_00061	gene	735				
EPBGNNHA_00061	CDS	735				hypothetical protein
EPBGNNHA_00062	gene	276				
EPBGNNHA_00062	CDS	276				hypothetical protein
EPBGNNHA_00063	gene	1998				
EPBGNNHA_00063	CDS	1998				hypothetical protein
EPBGNNHA_00064	gene	336				
EPBGNNHA_00064	CDS	336				hypothetical protein
EPBGNNHA_00065	gene	216				
EPBGNNHA_00065	CDS	216				hypothetical protein
EPBGNNHA_00066	gene	366				
EPBGNNHA_00066	CDS	366				hypothetical protein
EPBGNNHA_00067	gene	327				
EPBGNNHA_00067	CDS	327				hypothetical protein
